Run,Total,InjectedDupes,Stored,DetectedDupes,TimeHash(ms),BaselineDupes,BaselineTime(ms),TP,FP,FN,TN,Memory(KB),Collisions,LoadFactor
90,1000,42,958,42,2,42,2,42,0,0,958,68008,347,0.9580
91,1000,56,944,56,1,56,2,56,0,0,944,72104,347,0.9440
92,1000,49,951,49,2,49,2,49,0,0,951,76200,344,0.9510
93,1000,47,953,47,2,47,1,47,0,0,953,80296,333,0.9530
94,1000,49,951,49,2,49,2,49,0,0,951,84392,326,0.9510
95,1000,47,953,47,1,47,2,47,0,0,953,88488,344,0.9530
96,1000,56,944,56,2,56,2,56,0,0,944,92584,335,0.9440
97,1000,41,959,41,1,41,1,41,0,0,959,96680,344,0.9590
98,1000,47,953,47,1,47,2,47,0,0,953,98728,335,0.9530
99,1000,50,950,50,1,50,1,50,0,0,950,102824,334,0.9500
100,1000,52,948,52,1,52,1,52,0,0,948,106920,348,0.9480
